loanword,synonym,loan_language,part_of_speech
Couvre-feu,Ausgangsspär,FR,SUBST
culottéiert,affrontéiert,FR,ADJ
Cystite,Blosenentzündung,FR,SUBST
Debarras,Ofstellraum,FR,SUBST
decisiv,entscheedend,EN,ADJ
Defaite,Nidderlag,FR,SUBST
demissionéieren,zerécktrieden,FR,VRB
demoléieren,futti schloen,FR,VRB
Demonstrantin,Manifestantin,DE,SUBST
Denkmal,Monument,DE,SUBST
Deontologie,Beruffseethik,FR,SUBST
Derangement,Stéierung,FR,SUBST
Dermatolog,Hautdokter,DE,SUBST
Dermatologin,Hautdoktesch,DE,SUBST
desagreabel,onangeneem,FR,ADJ
Desavantage,Nodeel,FR,SUBST
Destitutioun,Amtsentheebung,FR,SUBST
Detail,Eenzelheet,FR,SUBST
Deviatioun,Ëmleedung,FR,SUBST
Dichter,Poeet,DE,SUBST
Dichterin,Poeetin,DE,SUBST
Dictionnaire,Wierderbuch,FR,SUBST
Dieteticien,Ernärungsberoder,FR,SUBST
Dingwort,Substantiv,DE,SUBST
Diversitéit,Villfalt,FR,SUBST
douéiert,begaabt,FR,ADJ
douéiert,talentéiert,FR,ADJ
Doute,Zweiwel,FR,SUBST
downloaden,eroflueden,DE,VRB
Drei,Dräi,DE,SUBST
E-Bike,Elektrovëlo,EN,SUBST
Ebola,Ebolaféiwer,DE,SUBST
Echeance,Stéchdag,FR,SUBST
Echec,Feelschlag,FR,SUBST
Echec,Mësserfolleg,FR,SUBST
Eins,Eent,DE,SUBST
Elektrokardiogramm,EKG,DE,SUBST
Elster,Kréi,DE,SUBST
E-Mail,Mail,DE,SUBST
embêtéieren,behellegen,FR,VRB
emigréieren,auswanderen,FR,VRB
Enthusiasmus,Begeeschterung,DE,SUBST
entkommen,fortlafen,DE,VRB
Entlüftung,Ventilatioun,DE,SUBST
Environnement,Ëmwelt,FR,SUBST
Eremit,Einsiidler,DE,SUBST
Erstaunen,Verwonnerung,DE,SUBST
Etagère,Kréibänk,FR,SUBST
Evenement,Ereegnes,FR,SUBST
evoquéieren,opwerfen,FR,VRB
exageréieren,iwwerdreiwen,FR,VRB
exakt,genee,DE,ADJ
Exploratioun,Erfuerschung,FR,SUBST
exploréieren,erfuerschen,FR,VRB
Exposé,Virtrag,FR,SUBST
exposéieren,duerleeën,FR,VRB
expropriéieren,enteegnen,FR,VRB
extravagant,ausgefalen,FR,ADJ
Fachjargon,Fachsprooch,DE,SUBST
Fait,Tatsaach,FR,SUBST
Fakt,Tatsaach,DE,SUBST
Faubourg,Viruert,FR,SUBST
Faveur,Gefalen,FR,SUBST
Feedback,Réckmeldung,EN,SUBST
felicitéieren,gratuléieren,FR,VRB
Festivitéit,Festlechkeet,FR,SUBST
Ficelle,Schnouer,FR,SUBST
filtréieren,filteren,FR,VRB
Fischstäbchen,Fishstick,DE,SUBST
Fitnessstudio,Fitnesszenter,DE,SUBST
Fondatioun,Stëftung,FR,SUBST
forcéiert,gezwongen,FR,ADJ
formell,ausdrécklech,DE,ADJ
formidabel,fantastesch,FR,ADJ
Foulard,Fischi,FR,SUBST
Freak,Fan,EN,SUBST
Fric,Kitten,FR,SUBST
Frigo,Äisschaf,FR,SUBST
Frigo,Frigidaire,FR,SUBST
Frust,Frustratioun,DE,SUBST
Fusel,Schnicki,DE,SUBST
gaffen,afen,DE,VRB
Gardien,Wiechter,FR,SUBST
Gardienne,Wiechterin,FR,SUBST
Gastroskopie,Mospigelung,DE,SUBST
Gebärmutter,Matrice,DE,SUBST
Gebärmutter,Uterus,DE,SUBST
Gedenkfeier,Commemoratiounsfeier,DE,SUBST
Gefäll,Schréi,DE,SUBST
Gehalt,Pai,DE,SUBST
geheimnisvoll,mysteriéis,DE,ADJ
Geheimnummer,Secretsnummer,DE,SUBST
Geldautomat,Bancomat,DE,SUBST
Geldwäsch,Blanchiment,DE,SUBST
generaliséieren,verallgemengeren,FR,VRB
Genossenschaft,Kooperativ,DE,SUBST
Geschenk,Kaddo,DE,SUBST
Geschwätz,Gerieds,DE,SUBST
Giersch,Geessefouss,DE,SUBST
Glasfasernetz,Glasfaserreseau,DE,SUBST
Grafie,Schreifweis,DE,SUBST
Grand-Duc,Groussherzog,FR,SUBST
Grand-Duché,Groussherzogtum,FR,SUBST
Gratulatioun,Felicitatioun,DE,SUBST
Grillfest,Barbecue,DE,SUBST
Grillparty,Barbecue,DE,SUBST
Gurt,Sécherheetsgurt,DE,SUBST
Hämatom,Blutterguss,DE,SUBST
Hämophilie,Bluterkrankheet,DE,SUBST
handicapéiert,behënnert,FR,ADJ
Harddisk,Festplack,DE,SUBST
Hausse,Erhéijung,FR,SUBST
Hauttumor,Hauttumeur,DE,SUBST
Hermelin,Grousst Wisel,DE,SUBST
Herrscherhaus,Dynastie,DE,SUBST
Herzbeutelentzündung,Perikarditt,DE,SUBST
Hörbuch,Audiobuch,DE,SUBST
Hyperthyreos,Schilddrüseniwwerfunktioun,DE,SUBST
Hypoglycemie,Ënnerzocker,FR,SUBST
Hypokrisie,Schäinhellegkeet,DE,SUBST
Hypothyreos,Schilddrüsenënnerfunktioun,DE,SUBST
Igel,Däreldéier,DE,SUBST
Igel,Kéiseker,DE,SUBST
Imker,Beienziichter,DE,SUBST
Imkerin,Beienziichterin,DE,SUBST
Immigrantin,Awanderin,DE,SUBST
immigréieren,awanderen,FR,VRB
Imparfait,Preteritum,FR,SUBST
Imperfekt,Preteritum,DE,SUBST
imposéieren,virschreiwen,FR,VRB
impressionéieren,beandrocken,FR,VRB
impressionnant,beandrockend,FR,ADJ
indemniséieren,entschiedegen,FR,VRB
Indemnitéit,Entschiedegung,FR,SUBST
Infektiounsrisiko,Infektiounsgefor,DE,SUBST
Infirmier,Krankefleeger,FR,SUBST
Infirmière,Krankeschwëster,FR,SUBST
Injektioun,Asprëtzung,FR,SUBST
Inlineskate,Rollerblade,DE,SUBST
Inscriptioun,Aschreiwung,FR,SUBST
Insektizid,Insektegëft,DE,SUBST
Intelligenz,Gescheitheet,DE,SUBST
intersex,intergeschlechtlech,FR,ADJ
intersexuell,intergeschlechtlech,DE,ADJ
intimidéieren,aschüchteren,FR,VRB
irresponsabel,onverantwortlech,FR,ADJ
Jardinière,Blummebac,FR,SUBST
Jardinière,Blummekëscht,FR,SUBST
Jazz,Jazzmusek,EN,SUBST
jugéieren,beurteelen,FR,VRB
Kaff,Bauerennascht,DE,SUBST
Kaff,Kouduerf,DE,SUBST
Kamill,Kaméileblumm,DE,SUBST
Kardiolog,Häerzdokter,DE,SUBST
Kardiologin,Häerzdoktesch,DE,SUBST
Karussell,Päerderchersspill,DE,SUBST
Katalog,Verzeechnes,DE,SUBST
kidnappen,entféieren,DE,VRB
Kidnapper,Entféierer,EN,SUBST
Kidnapping,Entféierung,EN,SUBST
Kittchen,Bing,DE,SUBST
Kittchen,Klemmes,DE,SUBST
klauen,stielen,DE,VRB
Klimawandel,Klimawiessel,DE,SUBST
Kofferradio,Transisterradio,DE,SUBST
Kohäsioun,Zesummenhalt,DE,SUBST
Koloskopie,Daarmspigelung,DE,SUBST
Kontur,Ëmrëss,DE,SUBST
Konzeptioun,Opfaassung,DE,SUBST
Korruptioun,Bestiechung,FR,SUBST
kränken,toufen,DE,VRB
Kürbis,Kalbass,DE,SUBST
Kurkuma,Gielwuerzel,DE,SUBST
Kuss,Bees,DE,SUBST
Laktos,Mëllechzocker,DE,SUBST
Langage,Ausdrocksweis,FR,SUBST
längen,verdënnen,DE,VRB
Leitartikel,Editorial,DE,SUBST
Libell,Waasserjoffer,DE,SUBST
Librairie,Bicherbuttek,FR,SUBST
Limett,Limoun,DE,SUBST
Linguistik,Sproochwëssenschaft,DE,SUBST
Linguistin,Sproochwëssenschaftlerin,DE,SUBST
Link,Verknëppung,EN,SUBST
Livreur,Liwwerant,FR,SUBST
Livreuse,Liwwerantin,FR,SUBST
Lokalanästhesie,Lokalnarkos,DE,SUBST
Luftikus,Litti,DE,SUBST
Maikäfer,Meekiewerlek,DE,SUBST
Malentendu,Mëssverständnes,FR,SUBST
Marchandise,Wuer,FR,SUBST
Martyrium,Leidenswee,DE,SUBST
Mediateur,Vermëttler,FR,SUBST
Mediatrice,Vermëttlerin,FR,SUBST
menacéieren,bedroen,FR,VRB
Menstruatiounscup,Menstruatiounstaass,DE,SUBST
mentionéieren,erwänen,FR,VRB
Mesure,Moossnam,FR,SUBST
Metabolismus,Stoffwiessel,DE,SUBST
Meteorolog,Wiederspezialist,DE,SUBST
minimiséieren,bagatelliséieren,FR,VRB
Mittelohrentzündung,Otitt,DE,SUBST
momentan,ablécklech,DE,ADJ
momentan,därzäit,DE,ADJ
Mondialisatioun,Globaliséierung,FR,SUBST
Motocyclist,Motorradfuerer,FR,SUBST
mutiléieren,verstümmelen,FR,VRB
Nager,Nagedéier,DE,SUBST
Narb,Läinzeechen,DE,SUBST
Narkolepsie,Schlofkrankheet,DE,SUBST
Navet,Ribb,FR,SUBST
Nippel,Broschtwaarz,DE,SUBST
Nomen,Substantiv,DE,SUBST
Numerisatioun,Digitaliséierung,FR,SUBST
Nuque,Genéck,FR,SUBST
Nuque,Halsgenéck,FR,SUBST
Obduktioun,Autopsie,DE,SUBST
Oberfläch,Uewerfläch,DE,SUBST
obèse,fettleibeg,FR,ADJ
Ombudsmann,Knoutermann,DE,SUBST
Orthodontie,Kiferorthopedie,FR,SUBST
Outfit,Dress,EN,SUBST
Pastinak,Péitener,DE,SUBST
Pater,Mënch,DE,SUBST
Pâtissier,Zockerbäcker,FR,SUBST
Patronne,Cheffin,FR,SUBST
Pedagogie,Pedagogik,FR,SUBST
Periduralanästhesie,Peridurale,DE,SUBST
Permanence,Bereetschaftsdéngscht,FR,SUBST
phenomenal,aussergewéinlech,FR,ADJ
Phoque,Séihond,FR,SUBST
picobello,impeccabel,DE,ADJ
Pingpong,Dëschtennis,OTHER,SUBST
plafonéieren,deckelen,FR,VRB
Plongeon,Kappsprong,FR,SUBST
Pluriel,Meerzal,FR,SUBST
Pommad,Sallef,FR,SUBST
Popularitéit,Beléiftheet,FR,SUBST
Potier,Aulebäcker,FR,SUBST
Presidence,Virsëtz,FR,SUBST
prima,wonnerbar,DE,ADJ
Privatsammlung,Privatkollektioun,DE,SUBST
probabel,warscheinlech,FR,ADJ
profanéieren,schännen,FR,VRB
Progrès,Fortschrëtt,FR,SUBST
Prophylax,Virbeugung,DE,SUBST
Quälerei,Mësshandlung,DE,SUBST
Questionnaire,Froebou,FR,SUBST
rapid,huerteg,FR,ADJ
rapid,schëtzeg,FR,ADJ
Rapiditéit,Schnellegkeet,FR,SUBST
rasant,schëtzeg,DE,ADJ
Rauchmelder,Dampmelder,DE,SUBST
recommandéieren,empfielen,FR,VRB
redigéieren,verfaassen,FR,VRB
Rennstreck,Rennpist,DE,SUBST
Renommée,Reputatioun,FR,SUBST
Renommée,Ruff,FR,SUBST
Representant,Vertrieder,FR,SUBST
Representatioun,Opféierung,FR,SUBST
Reproche,Virworf,FR,SUBST
Residence,Appartementshaus,FR,SUBST
Revolt,Opstand,FR,SUBST
Rheuma,Rematissem,DE,SUBST
riskant,riskéiert,DE,ADJ
rivaliséieren,konkurréieren,FR,VRB
Rock,Rockmusek,EN,SUBST
Salaire,Pai,FR,SUBST
Sanitäterin,Secouristin,DE,SUBST
Sarg,Doudelued,DE,SUBST
Schaffnerin,Kontrollerin,DE,SUBST
Schätzung,Estimatioun,DE,SUBST
Schauer,Schluet,DE,SUBST
Schildkröt,Deckelsmouk,DE,SUBST
schnallen,begräifen,DE,VRB
schnallen,bekäppen,DE,VRB
Schuppenflecht,Psoriasis,DE,SUBST
Schutzimpfung,Vaccinatioun,DE,SUBST
Schwankung,Fluktuatioun,DE,SUBST
Selbstmord,Suicide,DE,SUBST
Sensualitéit,Sënnlechkeet,FR,SUBST
sexy,lackeleg,EN,ADJ
Sieste,Mëttesrascht,FR,SUBST
Singulier,Einzal,FR,SUBST
skurril,bosseg,DE,ADJ
skurril,gelungen,DE,ADJ
Sondage,Ëmfro,FR,SUBST
Song,Lidd,DE,SUBST
Sonnenfinsternis,Sonnendäischtert,DE,SUBST
soupçonéieren,verdächtegen,FR,VRB
Souterrain,Unterfürung,FR,SUBST
Starrkrampf,Tetanus,DE,SUBST
Stenokardie,Angine de poitrine,DE,SUBST
Sternschnupp,Stäreschnäiz,DE,SUBST
Sticker,Pechbild,EN,SUBST
Successeur,Nofollger,FR,SUBST
Sucette,Lutsch,FR,SUBST
surveilléieren,iwwerwaachen,FR,VRB
tadellos,impeccabel,DE,ADJ
Tankstell,Bensinnsstatioun,DE,SUBST
Tattoo,Tätowéierung,EN,SUBST
Telecommande,Fernsteierung,FR,SUBST
Tendinite,Seenenentzündung,FR,SUBST
Thymian,Teimerjännchen,DE,SUBST
Tirebouchon,Stoppenzéier,FR,SUBST
Tissu,Stoft,FR,SUBST
toasten,réischteren,DE,VRB
Totalitéit,Gesamtheet,FR,SUBST
Tourette-Syndrom,Tourette,DE,SUBST
Tournage,Dréiaarbechten,FR,SUBST
Tournevis,Schrauwenzéier,FR,SUBST
Trajet,Faart,FR,SUBST
Trampel,Bëlles,DE,SUBST
Transpositioun,Ëmsetzung,FR,SUBST
treffend,pertinent,DE,ADJ
triéieren,sënneren,FR,VRB
Tripper,Gonorrhoe,DE,SUBST
Unanimitéit,Eestëmmegkeet,FR,SUBST
uniformiséieren,vereenheetlechen,FR,VRB
updaten,aktualiséieren,DE,VRB
urgent,dréngend,FR,ADJ
User,Benotzer,EN,SUBST
Userin,Benotzerin,DE,SUBST
Utilisateur,Benotzer,FR,SUBST
Utilisatrice,Benotzerin,FR,SUBST
Vagin,Scheed,FR,SUBST
Verblödung,Verdommung,DE,SUBST
verkacken,vermasselen,DE,VRB
vermeiden,verhënneren,DE,VRB
vermurksen,verbrueden,DE,VRB
Vermutung,Suppositioun,DE,SUBST
Verschwörung,Konspiratioun,DE,SUBST
Verseuchung,Kontaminatioun,DE,SUBST
verwenden,benotzen,DE,VRB
vexéieren,toufen,FR,VRB
Videosurveillance,Videoiwwerwaachung,FR,SUBST
Viol,Vergewaltegung,FR,SUBST
violett,mof,DE,ADJ
Violonist,Geiist,FR,SUBST
Violonistin,Geiistin,DE,SUBST
Volant,Steierrad,FR,SUBST
Vol-au-vent,Bouchée à la reine,FR,SUBST
Weltall,All,DE,SUBST
zerquetschen,zerdrécken,DE,VRB
zerquetschen,zerdretschen,DE,VRB
Zipperlein,Giicht,DE,SUBST
Zugab,Bis,DE,SUBST
Zutat,Ingredient,DE,SUBST
zwecklos,onnëtz,DE,ADJ
zwecklos,sënnlos,DE,ADJ
Zwei,Zwee,DE,SUBST
